year,Trade _services (%) ,"Communications, computer, etc. (% of service imports, BoP)","Imports of goods and services (BoP, current US$)","Primary income payments (BoP, current US$)","Insurance and financial services (% of service imports, BoP)","Goods imports (BoP, current US$)","Service imports (BoP, current US$)","Charges for the use of intellectual property, payments (BoP, current US$)","Imports of goods, services and primary income (BoP, current US$)","Transport services (% of service imports, BoP)","Foreign direct investment, net outflows (BoP, current US$)","Travel services (% of service imports, BoP)","Secondary income, other sectors, payments (BoP, current US$)","Personal remittances, paid (current US$)","Current account balance (BoP, current US$)",Current account balance (% of GDP),"Net financial account (BoP, current US$)","Net primary income (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Net trade in goods (BoP, current US$)","Net errors and omissions (BoP, current US$)","Foreign direct investment, net (BoP, current US$)","Portfolio investment, net (BoP, current US$)","Reserves and related items (BoP, current US$)","Net secondary income (BoP, current US$)","Net capital account (BoP, current US$)","Grants, excluding technical cooperation (BoP, current US$)","Technical cooperation grants (BoP, current US$)","ICT service exports (% of service exports, BoP)","ICT service exports (BoP, current US$)","Communications, computer, etc. (% of service exports, BoP)","Primary income receipts (BoP, current US$)","Exports of goods and services (BoP, current US$)",,"Insurance and financial services (% of service exports, BoP)","Goods exports (BoP, current US$)","Service exports (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)","Exports of goods, services and primary income (BoP, current US$)","Transport services (% of service exports, BoP)","Travel services (% of service exports, BoP)","Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (% of GDP)","Portfolio equity, net inflows (BoP, current US$)","Secondary income receipts (BoP, current US$)","Personal remittances, received (current US$)","Personal remittances, received (% of GDP)",Net official development assistance received (current US$),Net ODA received (% of GNI),Net ODA received per capita (current US$),"Total reserves (includes gold, current US$)",Total reserves minus gold (current US$),"Inflation, consumer prices (annual %)","Central government debt, total (% of GDP)","Revenue, excluding grants (% of GDP)",Expense (% of GDP),"Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added (current LCU)","Agriculture, forestry, and fishing, value added (constant 2015 US$)","Agriculture, forestry, and fishing, value added (annual % growth)","Agriculture, forestry, and fishing, value added (constant LCU)","Agriculture, forestry, and fishing, value added (% of GDP)",Financial intermediary services indirectly Measured (FISIM) (current LCU),Financial intermediary services indirectly Measured (FISIM) (constant LCU),"Manufacturing, value added (current US$)","Manufacturing, value added (constant 2015 US$)","Manufacturing, value added (annual % growth)","Manufacturing, value added (constant LCU)","Manufacturing, value added (% of GDP)","Industry (including construction), value added (current US$)","Industry (including construction), value added (current LCU)","Industry (including construction), value added (constant 2015 US$)","Industry (including construction), value added (annual % growth)","Industry (including construction), value added (% of GDP)","Services, value added (current US$)","Services, value added (current LCU)","Services, value added (constant 2015 US$)","Services, value added (annual % growth)","Services, value added (constant LCU)","Services, value added (% of GDP)",Adjusted savings: education expenditure (current US$),Adjusted savings: education expenditure (% of GNI),Adjusted savings: carbon dioxide damage (current US$),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: consumption of fixed capital (current US$),Adjusted savings: consumption of fixed capital (% of GNI),"Inflation, GDP deflator (annual %)",GDP deflator (base year varies by country),Gross value added at basic prices (GVA) (current US$),Gross value added at basic prices (GVA) (current LCU),Gross value added at basic prices (GVA) (constant 2015 US$),Gross value added at basic prices (GVA) (constant LCU),GDP (current US$),GDP (current LCU),GDP: linked series (current LCU),GDP (constant 2015 US$),GDP growth (annual %),GDP (constant LCU),"GDP, PPP (current international $)","GDP, PPP (constant 2017 international $)",GDP per capita (current US$),GDP per capita (current LCU),GDP per capita (constant 2015 US$),GDP per capita growth (annual %),GDP per capita (constant LCU),"GDP per capita, PPP (current international $)","GNI, Atlas method (current US$)",GNI (current US$),GNI (current LCU),GNI: linked series (current LCU),"GNI, PPP (current international $)","GNI, PPP (constant 2017 international $)",GNI per capita (current LCU),"GNI per capita, PPP (current international $)",,Net primary income (Net income from abroad) (current LCU),Taxes less subsidies on products (current US$),Taxes less subsidies on products (current LCU),Taxes less subsidies on products (constant LCU),Net secondary income (Net current transfers from abroad) (current US$),Net secondary income (Net current transfers from abroad) (current LCU),DEC alternative conversion factor (LCU per US$),"PPP conversion factor, GDP (LCU per international $)",Price level ratio of PPP conversion factor (GDP) to market exchange rate,"PPP conversion factor, private consumption (LCU per international $)"
2011,34.70683072,36.85033177,361702334.4,36027651.48,11.72271758,252676000.7,115343824.1,2035227.778,397729985.9,39.11359797,0,11.68944779,15106466.67,6439676.667,-102198873.7,-12.22339184,-5270326.217,-29645648.52,-119148409.3,-178642001.9,15304057.49,-109632707,17242547.78,40332598.34,46595184.07,81624490,340000,80000,3.428360772,5994057.407,36.44124401,6382002.963,242553925.2,242553925.2,1.308120915,67716508.52,174837416.7,,248935928.1,8.431669401,53.81896567,92419222.22,11.19715238,11.19715238,0,67868048.15,44314716.3,5.343288932,90000.00358,1.954251386,331.2246533,263485328,263485328,0.816089282,90.82805433,25.85549311,25.53769365,9614814.815,25960000,8522641.307,-8.336859924,21660000,1.16489345,20720000,31940000,61603703.7,60269136.07,-9.150204994,89280000,7.463664389,154070370.4,415990000,159946553.9,-10.43548429,18.66656496,558659259.3,1508380000,562447748.4,0.124752777,1316240000,67.6849762,24745416.16,3.385211197,6890658.24,0.942652703,84090216,11.50367159,-0.759321368,117.2009929,714662963,1929590000,727852833,1620250000,825381481.5,2228530000,2228530000,835576044.6,-0.525762355,1901460000,1105340824,1177444928,17293.80605,46693.27634,17507.40764,-0.830060524,39840.34194,23159.65436,801237887.6,801604296.3,2164331600,2164331600,1073498707,18210,45348.15932,23330,-29645666.67,-80043300,110718518.5,298940000,281210000,29105851.85,78585800,2.7,2.016147375,0.74672125,2.183853149
2010,33.59387151,35.40768548,364049461.9,36892983.7,12.22456131,265692834.1,111373461.1,1941085.556,400942445.6,40.67830542,0,11.43780051,13417480.37,5634597.037,-138581159.6,-17.79605292,-108843229.3,-29184471.11,-155919122.2,-194773898.5,-25908855.93,-116268480,11159866.3,33298383.96,46522433.7,55646786.3,7610000,570000,3.180673182,4778269.259,29.356415,7708512.593,208130339.6,208130339.6,1.473537644,57902102.22,150228237.4,,215838852.2,9.572403931,59.59764343,109632707,13.11250787,13.11250787,0,64066752.59,46809804.44,6.039802715,28100000.38,1.531618175,242.1787554,244261262.3,244261262.3,5.835165196,92.30854203,23.29432966,20.3550105,11159259.26,30130000,9297784.583,14.37560503,23630000,1.334691798,14050000,28000000,64714814.81,65818108.95,-8.586030664,97500000,7.740149283,175074074.1,472700000,175101528.1,-7.928100659,20.93955569,542566666.7,1464930000,561746953.5,1.45710493,1314600000,64.89313163,23990118.49,3.360140798,19343983.15,2.709386659,78054301.4,10.93256137,5.659653515,118.0977343,723592592.6,1953700000,743153353,1654310000,836092592.6,2257450000,2257450000,839992408.4,1.616607304,1911510000,1151059045,1183668209,17571.98446,47444.35804,17653.94608,1.236460689,40173.80887,24191.56901,785950950.2,806446925.9,2177406700,2177406700,1110245488,16790,45762.10462,22530,-29184481.48,-78798100,112500000,303750000,257200000,46595185.19,125807000,2.7,1.961193919,0.726368118,2.233052492
2009,30.71143803,30.27364485,366144813.7,44391409.26,12.60122171,311912635.6,100451979.6,1619166.667,410536223,45.68733293,0,11.59727831,10409372.59,5735364.815,-180115761.9,-23.26256191,-173221704.6,-33901252.22,-191369195.6,-228255643,-14490185.66,-130750839.3,-10471444.44,22677611.4,45154685.93,21384242.96,4810000,1050000,3.185546896,4374980,25.7633624,10490157.04,174775618.1,174775618.1,1.320754681,37437191.11,137338427,,185265775.2,12.12743099,60.78845193,116268480,14.93074548,14.93074548,0,60774436.3,38582195.19,5.011558607,10130000.11,0.433565921,67.884787,168859133.5,168859133.5,0.85087865,79.26880958,22.66893357,20.48132058,9877777.778,26670000,8129167.562,2.48015873,20660000,1.26846576,12880000,26330000,64362962.96,72447173.87,-2.093236594,107320000,8.265241089,175559259.3,474010000,195503237.7,-0.062273958,22.54463649,512414814.8,1383520000,553679265.6,2.641604134,1295720000,65.80231529,23915620.61,3.335070399,6728045.499,0.938236384,79256885.11,11.0524956,0.529928749,111.7718356,693074074.1,1871300000,752092881.7,1674210000,778718518.5,2102540000,2102540000,826629062.6,0.043977654,1881100000,1109690776,1164837364,16427.62101,44354.57671,17438.32801,-0.202950713,39683.14242,23409.71618,748464107.1,749534037,2023741900,2023741900,1068102257,16520,42692.27475,22160,-33901259.26,-91533400,85644444.44,231240000,206890000,46522444.44,125610600,2.7,1.894708008,0.701743707,2.176541622
2008,37.40669396,27.18254481,437002617.4,44156175.93,12.14760985,242953829.6,125089981.9,2213601.111,481158793.3,49.07256702,0,12.08382463,12200329.63,6165896.667,-203331386.7,-26.14551274,-172686510,-34138398.15,-202315128.9,-243043782.2,840793.7037,-177906026.7,12974977.78,14602655.22,33122140.37,29804082.96,1890000,550000,4.275247712,7089157.407,23.68940818,10017777.78,234687488.5,234687488.5,1.548243757,68868853.33,165818635.2,,244705266.3,8.387920211,66.37442785,130750839.3,16.88691463,16.88691463,0,51085818.89,39871070.74,5.156189931,3990000.01,6.296794493,992.8747072,136408154.2,136408154.2,2.05793709,,22.6099223,22.1403261,8688888.889,23460000,7932430.69,-10.59866962,20160000,1.122199488,18840000,24880000,55792592.59,79251753.75,10.24179461,117400000,7.20580268,179844444.4,485580000,212337574.4,4.197758866,23.22752035,508911111.1,1374060000,539429669.2,-1.446058523,1262373100,65.72759712,21791077.29,3.31,6490471.849,0.985883421,71435904.73,10.85090202,3.042589977,111.1826468,690466666.7,1864260000,752404237.9,1674903100,774273111.1,2090537400,2090537400,826265690.4,-3.379306113,1880273100,1096030966,1164325321,16374.25689,44210.49359,17473.79119,-3.64493844,39763.84342,23178.76256,742985774.7,740371851.9,1999004000,1999004000,1048041660,15790,42274.75363,22850,-34138407.41,-92173700,83803703.7,226270000,205370000,45154703.7,121917700,2.7,1.907370744,0.706433609,2.193573204
2007,40.45637042,34.58234084,346320109.6,45682649.63,11.37506208,219574230.7,103366280,1782938.148,392002759.3,41.95877246,0,13.38061975,11706423.7,5643773.333,-113034715.9,-16.39883148,-103180050.4,-30944481.48,-113299621.9,-185426829.6,-6591538.148,-134484438.1,20968518.52,7182397.595,31209387.41,16446203.7,1320000,780000,3.752632442,6585625.556,19.62460707,14738168.15,233020487.8,233020487.8,1.831907166,57527000,175493487.8,,247758655.9,7.438238444,71.10524732,177906026.7,22.87617452,22.87617452,0,43883211.11,35844762.96,5.241611062,4760000.229,0.522525804,73.16813905,110411464.6,110411464.6,5.300296751,,23.73848301,21.05053959,9518518.519,25700000,8872832.939,5.620608899,22550000,1.223945557,21220000,25420000,44559259.26,80946148.14,6.117073171,119910000,5.729684433,170629629.6,460700000,212469887.8,-0.528772156,21.94053377,506259259.3,1366900000,547344592.3,13.41280846,1280895600,65.09771134,21055252.59,3.44,5662125.448,0.925076128,66092934.81,10.79824119,1.481620896,107.8997013,678548148.1,1832080000,761672822.1,1695535600,777691333.3,2099766600,2099766600,855164310.2,11.17852797,1946035600,1127140161,1205047567,16491.88509,44528.08974,18134.79324,10.84609578,41268.038,23902.37003,747730073.6,743552925.9,2007592900,2007592900,1077661958,15710,42573.43498,20210,-30944481.48,-83550100,99140740.74,267680000,250500000,33122148.15,89429800,2.7,1.862915254,0.689968613,2.141699214
2006,43.23447819,33.1928503,320689997.8,45621932.22,10.14862975,185212585.2,101115767,1750127.407,366311930,43.2779002,0,11.55081233,9580187.037,5364776.667,-85109481.85,-13.20725097,-72457215.56,-32339809.26,-84981350,-161359198.5,2676691.111,-110415630.4,15024033.33,17147672.83,32211677.41,9975575.185,5550000,1050000,2.975003408,5280441.111,17.38640607,13282122.96,235708647.8,235708647.8,1.637508038,58215032.22,177493615.6,,248990770.7,6.806425517,74.16966038,134484438.1,19.51071067,19.51071067,0,44878993.33,32577622.96,5.095251678,6690000.057,0.854470452,111.575714,95790629.91,95790629.91,4.480886086,,25.10983288,21.50191734,7962962.963,21500000,8400664.446,3.239845261,21350000,1.1552494,25050000,26500000,41159259.26,73426007.28,-12.43806595,108770000,5.971296082,160151851.9,432410000,203910228.1,-5.498991226,23.23448339,442177777.8,1193880000,482612678.2,3.353892895,1129410000,64.15019317,19407277.54,3.79,5117650.998,0.999413609,53443317.17,10.43681535,6.324377132,106.3243771,601014814.8,1622740000,685041924.2,1524950000,689285185.2,1861070000,1861070000,769181177.2,0.600602327,1750370000,994732706.8,1083885161,14660.96321,39584.60066,16360.33558,0.298896809,37230.03297,21157.7732,623449443.2,658340703.7,1777519900,1777519900,950075591.8,15860,37807.50612,19510,-32339814.81,-87317500,88270370.37,238330000,225420000,31209370.37,84265300,2.7,1.870924709,0.692935077,2.111979988
2005,47.17298602,36.67580965,280128917.4,45817670.37,11.56542871,160819499.3,94916332.22,2018966.667,325946587.8,40.2079493,0,11.97356125,9803659.259,7506981.481,-64720367.78,-11.82747254,-35611411.11,-35138333.33,-53470834.44,-121770496.7,17418956.67,-92994488.89,9839205.926,-6678470.628,23888800,11690000,-220000,2340000,2.893582155,4722788.889,17.2302626,10679337.04,226658083,226658083,1.699842484,63442088.52,163215994.4,,237337420,6.840472028,74.22942289,110415630.4,17.13424767,17.13424767,0,36787300,29980970.37,5.531072456,7230000.019,0.509700528,55.85874575,88697803.08,88697803.08,8.487485758,,23.55345597,21.04461279,7659259.259,20680000,8137037.037,-20.0618477,20680000,1.188560394,19860000,25390000,37962962.96,69193396.58,7.889400922,102500000,5.891075452,149192592.6,402820000,204994180.2,6.807988173,23.15163916,402348148.1,1086340000,466951621,-0.728574284,1092760000,62.43620396,18860334.33,4.03,5293708.696,1.131138275,53041889.92,11.33377663,14.16833057,100,551844444.4,1489980000,669732419.8,1490870000,644414814.8,1739920000,1739920000,764589037.6,3.1503812,1739920000,962774743.9,1077414186,13747.80934,37119.08521,16311.58078,2.822493526,37119.08521,20539.63271,588942467.6,612075000,1652602500,1652602500,914458106.5,13260,35256.27213,18130,-35138333.33,-94873500,92570370.37,249940000,249050000,32211666.67,86971500,2.7,1.807193231,0.669330826,2.079067226
2004,42.61714013,36.4936427,241650056.7,46469029.63,10.70809236,175641677,80830557.41,1848140.741,288119086.3,40.82470369,0,10.15347084,9404044.444,7671122.222,-68379595.56,-13.48976042,-71229713.7,-38901629.63,-47700502.96,-102065671.5,-5562636.667,-55771474.07,-48022032.59,13644830.6,18222537.04,2712518.519,1220000,2670000,3.164868295,4278766.667,15.43749493,7567400,193949553.7,193949553.7,1.40920245,58753827.78,135195725.9,,201516953.7,7.230455401,75.92284722,92994488.89,16.99449186,16.99449186,0,31092929.63,28208974.07,5.612021511,6829999.924,-0.017094076,-1.717475273,71611722.86,71611722.86,3.37781904,,21.60698408,24.81610217,9088888.889,24540000,10179165.77,5.419722901,25870000,1.660969914,90220000,91690000,35014814.81,79022234.19,7.863604732,117060000,6.398862906,121751851.9,328730000,216922742.8,-4.450775713,22.24982233,376600000,1016820000,470378679,10.25440705,1100780000,68.82263359,16957531.24,3.98,4870351.113,1.143090769,51351970.32,12.05251159,-1.623765781,87.58996431,474033333.3,1279890000,656412971.3,1461220000,547203703.7,1477450000,1477450000,741237239,9.732820703,1686780000,905432169.4,1044508196,11711.15471,31620.11771,15863.82534,9.392290815,36100.16051,19377.89555,545508269.8,512065370.4,1382576500,1382576500,847290426,12560,29589.65222,15860,-38901629.63,-105034400,73174074.07,197570000,225560000,23888814.81,64499800,2.7,1.631762212,0.604356375,1.978234409
2003,40.02593331,37.04159137,255807659.3,49435707.41,11.79542157,177584466.7,80165982.22,1281851.852,305243366.7,41.00951622,0,9.650907494,8232874.074,7321751.852,-115791775.2,-24.64337099,-107070148.2,-43757460.37,-90626918.52,-118364754.8,6277182.546,-75612162.96,-30364226.3,186234.3637,18592603.7,2444444.444,800000,2240000,3.38779759,3655562.963,19.18037363,5678247.037,165180740.7,165180740.7,1.788839313,57276922.22,107903818.5,,170858987.8,9.198363247,69.83242381,55771474.07,11.00246086,11.00246086,0,30018388.89,26524314.81,5.705921027,3900000.095,0.021123359,1.938360224,78469063.54,78469063.54,2.314554622,,22.35722324,25.94422563,9033333.333,24390000,9655845.691,12.77573529,24540000,1.782074045,72910000,83100000,32988888.89,73243741.75,9.040650407,108500000,6.507967822,115081481.5,310720000,203095991.7,-17.03315257,22.70299497,344422222.2,929940000,426630274.1,7.101480369,998400000,67.9467789,16700204.08,3.77,4642741.483,1.048079132,53677703.8,12.1175132,3.839149638,89.03569547,441529629.6,1192130000,601477545.9,1338930000,506900000,1368630000,1368630000,675492741.6,3.996346661,1537170000,800036561.6,951864892.9,10882.35294,29382.35294,14501.77633,3.66368338,33000.64405,17175.53803,481297001.9,467998370.4,1263595600,1263595600,738638404.2,11670,27127.42808,14630,-43801245.69,-118145100,65374074.07,176510000,198240000,18222555.56,49200900,2.7,1.710709317,0.633596043,1.978520067
2002,35.12295011,37.72164495,256281191.9,43572762.96,12.08957549,166580740.7,78696725.19,887159.2593,299853954.8,40.53787207,0,10.7344744,8770000,7761377.778,-124597773.3,-25.89973675,-108762937,-38063025.93,-102975565.9,-114550681.5,4273577.101,-79771688.89,-42677037.04,9682036.311,16440818.52,11561259.26,840000,3950000,3.903891608,3524114.815,23.10972902,5509737.037,153305625.9,153305625.9,2.484741868,63033785.19,90271840.74,,158815363,11.11275133,63.29277778,75612162.96,16.09214972,16.09214972,,28328700,24937037.04,5.277021316,6210000.038,6.343455502,607.3837191,64802098.31,64802098.31,2.235436644,,19.19491047,18.3805353,8363919.475,22560000,8561988.681,1.492537313,21760000,1.780050182,55140000,75540000,31472212.95,67904036.71,-24.37904746,100590000,6.698070034,114414414.4,308610000,212556400.4,-2.29972054,24.35023434,309676343,835290000,398342088.9,1.327188339,932200000,65.90683142,16706546.55,3.94,4089651.713,0.96448585,51656530.8,12.18245379,1.66939098,85.74386036,412015719.4,1111330000,582237344.2,1296100000,469869869.9,1267380000,1267380000,649535068.6,-3.93339486,1478100000,749181850.7,915286857.2,10119.74478,27295.98759,13989.25435,-4.278920976,31834.33482,16135.38047,424148116.4,426068624.2,1149234900,1149234900,679343156.2,10330,24751.457,15220,-38101138.18,-102770200,57854150.45,156050000,182000000,18611203.8,50200000,2.6973,1.691685402,0.627177326,1.985533475
2001,37.7430776,37.22942231,241797037,39251481.48,11.11412027,172670370.4,75216296.3,927777.7778,281048518.5,40.92198302,0,11.6320966,7514814.815,8033333.333,-107408518.5,-23.41872096,-102794444.4,-34585185.19,-88886296.3,-111560000,-3437777.778,-88106666.67,-4996296.296,11608968.1,16062962.96,8051851.852,590000,6240000,4.161511598,4073703.704,23.07162613,4666296.296,152910740.7,152910740.7,2.098349243,55020740.74,97890000,,157577037,11.64572479,63.18429984,79771688.89,16.58188334,16.58188334,,26614814.81,23811111.11,5.398363107,10770000.46,2.389015608,220.2844369,65752273.11,65752273.11,2.041091026,,18.23939113,17.31822394,8590071.553,23170000,8436077.083,19.57612939,21440000,1.785590432,65380000,72380000,27579431.28,62274056.93,28.98075703,92250000,5.732847312,137682126.6,371370000,256194380,16.80380823,28.619539,307103399.7,828350000,393124585.2,2.366699306,919990000,63.83659189,15427394.06,3.94,3567655.454,0.911143025,46761072.29,11.94230368,3.476020855,84.3359634,429132836.5,1157500000,616544470.1,1372470000,481077373.7,1297610000,1297610000,676129928.4,1.367715073,1538620000,764763330,952762779.4,10398.52528,28047.94224,14614.6016,0.758597297,33257.39236,16530.41955,423101595.4,442976235.5,1194839800,1194839800,704194376,9140,25826.55629,14930,-34619804.99,-93380000,51948244.54,140120000,166140000,16457272.09,44390200,2.6973,1.696747149,0.629053924,1.986206581
2000,41.40337864,35.57795306,248737037,35633333.33,11.19875353,135188888.9,76066666.67,825925.9259,284370370.4,41.59119681,124074.0741,9.699756845,4248148.148,7292592.593,-66207407.41,-15.70027782,-80977777.78,-30107407.41,-98748148.15,-121211111.1,-18118518.52,-96214814.81,-14307407.41,-4370053.145,62648148.15,3348148.148,1510000,2030000,5.446754125,5366666.667,26.74886291,5525925.926,149988888.9,149988888.9,3.232718114,51459259.26,98529629.63,,155514814.8,10.70555952,59.31285945,88230740.74,19.23731121,19.23731121,,69900000,23318518.52,5.756300113,8069999.695,1.019005541,87.76753722,56429365.45,56429365.45,2.303447483,,17.3394313,16.81019319,7963519.075,21480000,7054984.24,17.80551905,17930000,1.73631881,74260000,69700000,30575019.46,82350267.8,16.19164619,121990000,6.666397219,140184629.1,378120000,262224818,46.15359131,30.56503112,290998405.8,784910000,384035617,-0.701603191,898720000,63.44757902,15048835.5,3.98,3207555.589,0.848309575,44302221.77,11.71671008,3.333221872,81.50290541,411611611.6,1110240000,611939939,1362220000,458643829,1237100000,1237100000,667007170.8,5.25344983,1517860000,742866863.2,939907522.5,9973.553451,26901.66572,14504.57032,4.051821918,33007.00213,16154.19613,421097684.4,424024024,1143720000,1143720000,686793055.3,9150,24871.04771,14090,-30137544.95,-81290000,47028509.99,126850000,155640000,16079042,43370000,2.6973,1.665305132,0.617397076,1.977348954
1999,42.08842356,39.51263347,205255555.6,34903703.7,9.657469077,130988888.9,70066666.67,822222.2222,240159259.3,41.13014061,0,9.942079178,1281481.481,2333333.333,-67196296.3,-16.5265722,-92866666.67,-28455555.56,-59237037.04,-90233333.33,-28977777.78,-57737037.04,-2233333.333,2785164.295,20496296.3,3307407.407,2830000,1590000,6.55623557,6625925.926,22.53820501,6448148.148,146018518.5,146018518.5,1.297321069,44955555.56,101062963,,152466666.7,7.688642944,68.47583098,96214814.81,22.81616789,22.81616789,,24051851.85,21944444.44,5.697718631,7510000.229,1.258888165,106.1907469,45199214.95,45199214.95,2.148855327,,16.39740705,17.15480469,6517628.74,17580000,5988670.392,-32.17468806,15220000,1.54557603,65450000,69780000,29518407.3,63846940.96,5.23594053,94580000,6.999929667,113194676.2,305320000,224500229.9,9.775967413,26.84273456,282263745.2,761350000,386749060.7,6.277521401,905070000,66.93539879,9965730.602,2.784685088,3091834.021,0.863939076,41346558.84,11.55330707,-5.751373934,78.8738645,377707337,1018790000,580247288.3,1291670000,421695769.8,1137440000,1130843403,633715257.7,10.04280842,1442100000,690237881.9,892994504.2,9275.989746,25020.12714,13939.75622,8.503308049,31721.69552,15183.0774,402166328.6,391558224.9,1056150000,1049553403,640620545.6,9160,23232.00106,12640,-28484039.6,-76830000,43988432.88,118650000,150430000,62710859.01,169150000,2.6973,1.638338654,0.607399494,1.987452299
1998,42.42676927,37.81572819,193014814.8,30192592.59,9.434525587,130955555.6,62025925.93,303703.7037,223207407.4,42.80766704,0,9.071286566,2118518.519,3166666.667,-46307407.41,-12.0825888,-32328978.66,-25355555.56,-48033333.33,-86585185.19,8693243.565,-31925925.93,-15444444.44,10991936.23,27081481.48,5285185.185,2220000,2210000,7.037118869,7077777.778,17.75298277,4837037.037,144981481.5,144981481.5,3.417292679,44403703.7,100577777.8,,149818518.5,7.939313596,70.89041096,57737037.04,14.20011762,14.20011762,,33662962.96,20740740.74,5.607875135,8119999.886,1.869360526,151.2548057,49575620.06,49575620.06,3.363036304,,17.75826798,17.5673372,7121936.752,19210000,8829550.827,-6.343906511,22440000,1.75160252,22280000,19470000,26700774.85,54949682.75,-2.728873239,81400000,6.566913769,91395098.8,246520000,153605688.3,3.993948563,22.47813916,268542616.7,724340000,363904855.5,1.661712567,851610000,66.04663038,13738960.71,3.8696913,2650602.465,0.746563988,40210492.44,11.32561596,2.780021195,83.68701783,358795832.9,967780000,519489938.7,1156420000,406595484.4,1096710000,1009392729,575880665.7,3.219886422,1310490000,613349162.6,811497377.3,9070.73027,24466.48076,12847.30989,1.849761884,29235.69437,13683.19381,361294682.7,378111444.8,1019880000,932562729.5,566664047.1,8850,22752.48187,12290,-25380936.49,-68460000,47799651.5,128930000,154060000,20516813.11,55340000,2.6973,1.645706542,0.610131073,2.011344836
1997,42.69565372,42.80602102,196159259.3,23714814.81,8.849758591,131925925.9,65203703.7,311111.1111,219874074.1,39.27293383,0,8.916389979,2996296.296,2518518.519,-60414814.81,-16.12604204,-44529629.63,-19581481.48,-55918518.52,-85466666.67,14251851.85,-19670370.37,-7974074.074,3655555.556,15085185.19,1633333.333,2710000,1830000,8.020951413,7600000,15.1076887,4133333.333,140240740.7,140240740.7,1.766798264,45488888.89,94751851.85,,144374074.1,7.426806864,75.69870617,31925925.93,8.330154001,8.330154001,,21759259.26,19648148.15,5.26627182,13439999.58,2.036388978,165.6129746,46798422.62,46798422.62,3.44635866,,,,8679049.42,23410000,9427630.919,-0.580912863,23960000,2.264548831,22060000,18510000,23842360.88,52215699.76,14.13807952,77350000,6.220979725,79179179.18,213570000,139926517.5,8.739461238,20.65953413,257835613.4,695460000,357956645,-2.085257092,837690000,67.27480266,11460800,3.6,2405062.319,0.755464221,36625693.28,11.50465027,2.800181585,81.42342924,337519000.5,910390000,502271238.4,1118090000,383257331.4,1033760000,951454648.9,557916391.6,-0.486745779,1269610000,585958559.8,786183172.1,8665.09906,23372.37169,12613.98127,-1.778190679,28704.7253,13247.98914,338530895,357876394.9,965300000,882994648.9,543797093.6,8060,21824.55347,12580,-19601082.56,-52870000,45738330.92,123370000,151520000,27108590.07,73120000,2.6973,1.623757573,0.601993687,1.988480294
1996,44.88437864,43.42891639,193277777.8,18725925.93,9.912466043,117122222.2,61351851.85,296296.2963,212003703.7,37.74222759,0,9.281678773,1051851.852,1677777.778,-65077777.78,-19.48760606,-49988888.89,-15588888.89,-65659259.26,-92844444.44,11670370.37,-35174074.07,-2737037.037,-885185.1852,16170370.37,3418518.519,8790000,1480000,8.533779544,7555555.556,14.20623301,3137037.037,127618518.5,127618518.5,1.439029492,39081481.48,88537037.04,,130755555.6,7.429408074,76.92532943,19670370.37,5.250454222,5.250454222,,20803703.7,18888888.89,5.681805579,14090000.15,2.145399948,158.4797068,36069846.13,36069846.13,8.905183391,,,,11429948.47,30830000,9482717.243,2.728047741,24100000,3.050904485,21670000,18270000,24105587.07,53680574.6,4.972125961,79520000,6.434311048,72806139.47,196380000,134552557.6,4.93720599,19.43355896,254380306.2,686140000,365579926.3,6.266457992,855530000,67.89969521,10588407.41,3.5,2307053.696,0.76259702,34257851.6,11.3239391,4.915154727,79.20553056,330582434.3,891680000,505725759.8,1125780000,374641308,1010520000,930064958.8,560645309,6.823966776,1275820000,582270986.1,790028603,8581.668224,23147.3337,12842.34261,5.456122781,29224.39069,13337.70813,346344437.6,355040225.4,957650000,877194958.8,549171505.6,7650,21936.27451,11800,-15588888.89,-42090000,44058873.69,118840000,150040000,15100285.47,40730000,2.6973,1.597306033,0.592187014,1.952071667
